year,county,violent_crimes,property_crimes,violent_clearance_rate,property_clearance_rate,arrests_total,arrests_felony,arrests_misdemeanor,arrests_status_offense,dic_total_deaths,dic_arrest_related,dic_city_county_jails,leoka_total_deaths,leoka_felony_deaths,leoka_accidental_deaths,leoka_total_assaults,leoka_injury_assaults,leoka_no_injury_assaults,calls_for_service,contracting_agencies,population_served,hispanic_population,white_population,black_population,native_american_population,asian_pacific_islander_population,other_population,hispanic_proportion,white_proportion,black_proportion,native_american_proportion,asian_pacific_islander_proportion,other_proportion,arrests_total_rate_per_100000,arrests_felony_rate_per_100000,arrests_misdemeanor_rate_per_100000,arrests_status_offense_rate_per_100000,violent_crimes_rate_per_100000,property_crimes_rate_per_100000,dic_total_deaths_rate_per_100000,dic_arrest_related_rate_per_100000,dic_city_county_jails_rate_per_100000,leoka_total_deaths_rate_per_100000,leoka_felony_deaths_rate_per_100000,leoka_accidental_deaths_rate_per_100000,leoka_total_assaults_rate_per_100000,leoka_injury_assaults_rate_per_100000,leoka_no_injury_assaults_rate_per_100000
2005,Solano,1444,10346,48.68,14.59,16499,6028,10186,285,4,1,3,0,0,0,65,16,49,,,410985,90417,181244,57949,2055,59593,19727,0.22,0.44,0.14,0,0.14,0.04,4014.501746,1466.720197,2478.435953,69.34559655,351.3510225,2517.366814,0.973271531,0.243317883,0.729953648,0,0,0,15.81566237,3.893086122,11.92257625
2005,Sonoma,2407,12067,74.03,14.82,20974,5761,15147,66,4,1,3,0,0,0,109,21,88,,,469734,104751,323647,7046,3758,18789,11743,0.22,0.68,0.01,0,0.03,0.02,4465.080237,1226.438793,3224.590939,14.05050518,512.4176662,2568.900697,0.851545768,0.212886442,0.638659326,0,0,0,23.20462219,4.470615284,18.73400691
2005,Stanislaus,3080,27180,52.01,14.51,27454,11832,15397,225,9,0,9,1,1,0,142,43,99,,,494144,192222,247072,13836,3459,27178,10377,0.38,0.5,0.02,0,0.05,0.02,5555.870354,2394.443725,3115.893343,45.53328584,623.3000907,5500.42093,1.821331434,0,1.821331434,0.202370159,0.202370159,0,28.73656262,8.70191685,20.03464577
2005,Sutter,340,3492,45.29,11.39,3710,1188,2390,132,0,0,0,0,0,0,13,1,12,,,87097,23516,47032,1568,610,10887,3484,0.26,0.53,0.01,0,0.12,0.04,4259.618586,1363.996464,2744.06696,151.5551626,390.3693583,4009.322939,0,0,0,0,0,0,14.92588723,1.148145171,13.77774206
2005,Tehama,525,1906,72,14.32,3949,1253,2682,14,1,0,1,0,0,0,7,5,2,,,59976,11995,44262,480,900,840,1499,0.19,0.73,0,0.01,0.01,0.02,6584.300387,2089.169001,4471.788715,23.3426704,875.3501401,3177.937842,1.6673336,0,1.6673336,0,0,0,11.6713352,8.336668001,3.3346672
2005,Trinity,36,189,66.66,15.87,662,272,390,0,1,0,1,0,0,0,2,0,2,,,13654,696,11688,68,205,178,847,0.05,0.85,0,0.01,0.01,0.06,4848.396074,1992.09023,2856.305844,0,263.659001,1384.209755,7.32386114,0,7.32386114,0,0,0,14.64772228,0,14.64772228
2005,Tulare,2760,20270,48.73,10.08,24563,8958,15006,599,2,0,2,1,0,1,114,45,69,,,404148,229152,146706,5254,2829,13741,6871,0.56,0.36,0.01,0,0.03,0.01,6077.724002,2216.514742,3712.996229,148.2130309,682.9181389,5015.489375,0.494868217,0,0.494868217,0.247434108,0,0.247434108,28.20748835,11.13453487,17.07295347
2005,Tuolumne,144,1654,53.47,10.82,3056,906,1992,158,0,0,0,0,0,0,7,4,3,,,56411,5585,46595,1297,733,677,1467,0.09,0.82,0.02,0.01,0.01,0.02,5417.383134,1606.069738,3531.226179,280.087217,255.2693624,2932.052259,0,0,0,0,0,0,12.40892734,7.090815621,5.318111716
2005,Ventura,2083,16727,41.19,15.72,33711,9109,22897,1705,2,1,1,0,0,0,144,30,114,,,795962,296894,413104,13531,2388,52533,18307,0.37,0.51,0.01,0,0.06,0.02,4235.252437,1144.401366,2876.644865,214.2062058,261.6959101,2101.482232,0.251268277,0.125634138,0.125634138,0,0,0,18.09131592,3.769024149,14.32229177
2005,Yolo,778,6224,59.51,20.17,8997,3312,5587,98,2,0,2,1,1,0,81,25,56,,,186530,53161,99794,4290,1306,22197,5969,0.28,0.53,0.02,0,0.11,0.03,4823.352812,1775.585697,2995.22865,52.53846566,417.0910845,3336.728676,1.072213585,0,1.072213585,0.536106792,0.536106792,0,43.42465019,13.40266981,30.02198038
2005,Yuba,331,2384,24.16,8.51,5108,1918,3187,3,0,0,0,0,0,0,9,1,8,,,66478,14958,40219,1330,931,4720,4321,0.22,0.6,0.02,0.01,0.07,0.06,7683.744998,2885.165017,4794.06721,4.512771142,497.9090827,3586.148801,0,0,0,0,0,0,13.53831343,1.504257047,12.03405638
2006,Alameda,12419,65868,29.8,8.46,54830,18613,35786,431,15,7,8,1,0,1,230,84,146,,,1462371,311485,542540,184259,4387,367055,51183,0.21,0.37,0.12,0,0.25,0.03,3749.390545,1272.796028,2447.121832,29.47268511,849.2373002,4504.192165,1.0257315,0.4786747,0.5470568,0.0683821,0,0.0683821,15.72788301,5.744096402,9.983786604
2006,Amador,131,844,44.27,17.89,1676,570,1105,1,0,0,0,0,0,0,0,0,0,,,37843,4011,30501,833,643,492,1400,0.1,0.8,0.02,0.01,0.01,0.03,4428.824353,1506.22308,2919.958777,2.642496631,346.1670586,2230.267156,0,0,0,0,0,0,0,0,0
2006,Butte,787,7107,46.88,13.29,10733,2404,8321,8,4,4,0,0,0,0,36,8,28,,,214690,27480,165097,3220,1932,9017,7944,0.12,0.76,0.01,0,0.04,0.03,4999.301318,1119.754064,3875.820951,3.726303042,366.5750617,3310.354465,1.863151521,1.863151521,0,0,0,0,16.76836369,3.726303042,13.04206065
2006,Calaveras,56,944,50,12.39,2043,549,1493,1,2,2,0,0,0,0,4,1,3,,,45044,4414,37657,631,856,631,811,0.09,0.83,0.01,0.01,0.01,0.01,4535.565225,1218.808276,3314.536897,2.220051505,124.3228843,2095.728621,4.44010301,4.44010301,0,0,0,0,8.880206021,2.220051505,6.660154516
2006,Colusa,80,624,71.25,12.5,1167,322,839,6,0,0,0,0,0,0,4,2,2,,,20729,10530,8955,228,228,228,580,0.5,0.43,0.01,0.01,0.01,0.02,5629.794008,1553.379324,4047.469728,28.94495634,385.9327512,3010.27546,0,0,0,0,0,0,19.29663756,9.64831878,9.64831878
2006,Contra Costa,4796,36977,31.54,9.83,30749,12763,17864,122,10,6,4,0,0,0,161,77,84,,,1007169,224599,515671,90645,3022,137982,35251,0.22,0.51,0.08,0,0.13,0.03,3053.01295,1267.215333,1773.684456,12.11316075,476.186221,3671.379878,0.992882029,0.595729217,0.397152811,0,0,0,15.98540066,7.645191621,8.340209041
2006,Del Norte,94,667,53.19,24.58,1763,512,1247,4,0,0,0,0,0,0,2,1,1,,,28296,4556,19072,962,1245,990,1471,0.16,0.67,0.03,0.04,0.03,0.05,6230.562624,1809.443031,4406.983319,14.13627368,332.2024314,2357.223636,0,0,0,0,0,0,7.068136839,3.53406842,3.53406842
2006,El Dorado,614,3488,71,17.66,6928,2181,4728,19,1,1,0,0,0,0,13,9,4,,,174218,20035,140594,697,1045,7317,4530,0.11,0.8,0,0,0.04,0.02,3976.626985,1251.879829,2713.841279,10.90587655,352.4320105,2002.089336,0.573993502,0.573993502,0,0,0,0,7.461915531,5.165941522,2.29597401
2006,Fresno,4895,39437,48.27,13.93,50368,17815,32025,528,6,3,3,0,0,0,365,59,306,,,879128,422861,312970,43077,5275,77363,18462,0.48,0.35,0.04,0,0.08,0.02,5729.313593,2026.439836,3642.814243,60.05951352,556.8017399,4485.922414,0.682494472,0.341247236,0.341247236,0,0,0,41.5184137,6.711195639,34.80721806
2006,Glenn,77,670,77.92,12.23,2457,598,1631,228,0,0,0,0,0,0,5,1,4,,,27628,9559,15969,193,470,856,608,0.34,0.57,0,0.01,0.03,0.02,8893.151875,2164.470827,5903.431302,825.2497466,278.7027653,2425.07601,0,0,0,0,0,0,18.09758216,3.619516433,14.47806573
2006,Humboldt,408,4254,48.28,15.77,8367,1882,6193,292,4,3,1,0,0,0,7,3,4,,,131958,10953,104379,1320,6730,3167,5410,0.08,0.79,0.01,0.05,0.02,0.04,6340.653844,1426.21137,4693.159945,221.2825293,309.1892875,3223.753012,3.031267525,2.273450643,0.757816881,0,0,0,5.304718168,2.273450643,3.031267525
2006,Imperial,663,6388,36.34,7.24,8728,2616,6081,31,3,0,3,0,0,0,33,5,28,,,160088,121827,26735,5283,1761,3202,1281,0.76,0.16,0.03,0.01,0.02,0,5452.001399,1634.101244,3798.535805,19.36434961,414.147219,3990.305332,1.873969317,0,1.873969317,0,0,0,20.61366249,3.123282195,17.49038029
2006,Inyo,74,323,95.94,50.46,1131,343,788,0,0,0,0,0,0,0,5,0,5,,,18442,3264,12633,37,1900,258,350,0.17,0.68,0,0.1,0.01,0.01,6132.740484,1859.885045,4272.855439,0,401.257998,1751.436937,0,0,0,0,0,0,27.1120269,0,27.1120269
